2015 Geography Name;tate;2010 Census Total Population;2010 Census Urban Population;2010 Census Rural Population
Pike County;Arkansas;11291;0;11291
Poinsett County;Arkansas;24583;7095;17488
Polk County;Arkansas;20662;5499;15163
Pope County;Arkansas;61754;28102;33652
Prairie County;Arkansas;8715;0;8715
Pulaski County;Arkansas;382748;335759;46989
Randolph County;Arkansas;17969;5854;12115
Saint Francis County;Arkansas;28258;13690;14568
Saline County;Arkansas;107118;68384;38734
Scott County;Arkansas;11233;3330;7903
Searcy County;Arkansas;8195;0;8195
Sebastian County;Arkansas;125744;99574;26170
Sevier County;Arkansas;17058;6209;10849
Sharp County;Arkansas;17264;3443;13821
Stone County;Arkansas;12394;0;12394
Union County;Arkansas;41639;18944;22695
Van Buren County;Arkansas;17295;0;17295
Washington County;Arkansas;203065;151294;51771
White County;Arkansas;77076;35210;41866
Woodruff County;Arkansas;7260;0;7260
Yell County;Arkansas;22185;4631;17554
Alameda County;California;1510271;1504402;5869
Alpine County;California;1175;0;1175
Amador County;California;38091;15075;23016
Butte County;California;220000;178416;41584
Calaveras County;California;45578;11208;34370
Colusa County;California;21419;14624;6795
Contra Costa County;California;1049025;1040709;8316
Del Norte County;California;28610;18976;9634
El Dorado County;California;181058;118231;62827
Fresno County;California;930450;829913;100537
Glenn County;California;28122;16628;11494
Humboldt County;California;134623;94561;40062
Imperial County;California;174528;144129;30399
Inyo County;California;18546;9935;8611
Kern County;California;839631;753938;85693
Kings County;California;152982;136381;16601
Lake County;California;64665;43257;21408
Lassen County;California;34895;10285;24610
Los Angeles County;California;9818605;9759181;59424
Madera County;California;150865;101193;49672
Marin County;California;252409;235952;16457
Mariposa County;California;18251;0;18251
Mendocino County;California;87841;48110;39731
Merced County;California;255793;219283;36510
Modoc County;California;9686;2910;6776
Mono County;California;14202;7693;6509
Monterey County;California;415057;374315;40742
Napa County;California;136484;118194;18290
Nevada County;California;98764;57150;41614
Orange County;California;3010232;3005917;4315
Placer County;California;348432;300393;48039
Plumas County;California;20007;5197;14810
Riverside County;California;2189641;2088429;101212
Sacramento County;California;1418788;1389531;29257
San Benito County;California;55269;42002;13267
San Bernardino County;California;2035210;1938853;96357
San Diego County;California;3095313;2993259;102054
San Francisco County;California;805235;805235;0
San Joaquin County;California;685306;627241;58065
San Luis Obispo County;California;269637;224887;44750
San Mateo County;California;718451;704865;13586
Santa Barbara County;California;423895;402626;21269
Santa Clara County;California;1781642;1762335;19307
Santa Cruz County;California;262382;230793;31589
Shasta County;California;177223;125321;51902
Sierra County;California;3240;9;3231
Siskiyou County;California;44900;15344;29556
Solano County;California;413344;397974;15370
Sonoma County;California;483878;424102;59776
Stanislaus County;California;514453;473396;41057
Sutter County;California;94737;80718;14019
Tehama County;California;63463;30787;32676
Trinity County;California;13786;0;13786
Tulare County;California;442179;373730;68449
Tuolumne County;California;55365;28255;27110
Ventura County;California;823318;797593;25725
Yolo County;California;200849;186931;13918
Yuba County;California;72155;53234;18921
Adams County;Colorado;441603;425615;15988
Alamosa County;Colorado;15445;9751;5694
Arapahoe County;Colorado;571914;562992;9011
Archuleta County;Colorado;12084;4909;7175
Baca County;Colorado;3788;0;3788
Bent County;Colorado;6499;4032;2467
Boulder County;Colorado;294567;268312;26255
Broomfield County;Colorado;55889;55563;326
Chaffee County;Colorado;17809;11146;6663
Cheyenne County;Colorado;1836;0;1836
Clear Creek County;Colorado;9088;0;9088
Conejos County;Colorado;8256;0;8256
Costilla County;Colorado;3524;0;3524
Crowley County;Colorado;5823;0;5823
Custer County;Colorado;4255;0;4255
Delta County;Colorado;30952;11399;19553
Denver County;Colorado;600247;600158;0
Dolores County;Colorado;2064;0;2064
Douglas County;Colorado;285465;256098;29367
Eagle County;Colorado;52197;41766;10431
Elbert County;Colorado;23086;0;23086
El Paso County;Colorado;622263;566668;55595
Fremont County;Colorado;46824;34453;12371
Garfield County;Colorado;56389;42797;13592
Gilpin County;Colorado;5441;0;5441
Grand County;Colorado;14843;2583;12260
Gunnison County;Colorado;15324;6343;8981
Hinsdale County;Colorado;843;0;843
Huerfano County;Colorado;6711;2943;3768
Jackson County;Colorado;1394;0;1394
Jefferson County;Colorado;534543;497679;36864
Kiowa County;Colorado;1398;0;1398
Kit Carson County;Colorado;8270;4243;4027
Lake County;Colorado;7310;5039;2271
La Plata County;Colorado;51334;20560;30774
Larimer County;Colorado;299630;264692;34938
Las Animas County;Colorado;15507;9181;6326
Lincoln County;Colorado;5467;0;5467
Logan County;Colorado;22709;16088;6621
Mesa County;Colorado;146723;128124;18599
Mineral County;Colorado;712;0;712
Moffat County;Colorado;13795;10021;3774
Montezuma County;Colorado;25535;8380;17155
Montrose County;Colorado;41276;22706;18570
Morgan County;Colorado;28159;18994;9165
Otero County;Colorado;18831;12352;6479
Ouray County;Colorado;4436;0;4436
Park County;Colorado;16206;0;16206
Phillips County;Colorado;4442;0;4442
Pitkin County;Colorado;17148;9568;7580
Prowers County;Colorado;12551;7796;4755
Pueblo County;Colorado;159063;136550;22513
Rio Blanco County;Colorado;6666;0;6666
Rio Grande County;Colorado;11982;4489;7493
Routt County;Colorado;23509;12888;10621
Saguache County;Colorado;6108;0;6108
San Juan County;Colorado;699;0;699
San Miguel County;Colorado;7359;0;7359
Sedgwick County;Colorado;2379;0;2379
Summit County;Colorado;27994;22530;5464
Teller County;Colorado;23350;8732;14618
Washington County;Colorado;4814;0;4814
Weld County;Colorado;252825;201097;51728
Yuma County;Colorado;10043;3524;6519
Fairfield County;Connecticut;916829;874801;42028
Hartford County;Connecticut;894014;845660;48354
Litchfield County;Connecticut;189927;111205;78722
Middlesex County;Connecticut;165676;125019;40657
New Haven County;Connecticut;862477;831083;31394
New London County;Connecticut;274055;203326;70729
Tolland County;Connecticut;152691;94351;58340
Windham County;Connecticut;118428;59497;58931
Kent County;Delaware;162310;118536;43774
New Castle County;Delaware;538479;513696;24783
Sussex County;Delaware;197145;115717;81428
District of Columbia;District of Columbia;601767;601723;0
Alachua County;Florida;247336;194917;52419
Baker County;Florida;27115;10984;16131
Bay County;Florida;168852;148590;20262
Bradford County;Florida;28520;6979;21541
Brevard County;Florida;543376;515803;27573
Broward County;Florida;1748066;1747770;296
Calhoun County;Florida;14625;4751;9874
Charlotte County;Florida;159978;145765;14213
Citrus County;Florida;141236;92483;48753
Clay County;Florida;190865;162295;28570
Collier County;Florida;321520;294236;27284
Columbia County;Florida;67531;25623;41908
DeSoto County;Florida;34862;18741;16121
Dixie County;Florida;16422;3773;12649
Duval County;Florida;864263;839100;25163
Escambia County;Florida;297619;272910;24709
Flagler County;Florida;95696;85819;9877
Franklin County;Florida;11549;3691;7858
Gadsden County;Florida;46389;16060;30329
Gilchrist County;Florida;16939;2724;14215
Glades County;Florida;12884;3783;9101
Gulf County;Florida;15863;3635;12228
Hamilton County;Florida;14799;5404;9395
Hardee County;Florida;27731;14473;13258
Hendry County;Florida;39140;24309;14831
Hernando County;Florida;172778;139302;33476
Highlands County;Florida;98786;77976;20810
Hills County;Florida;1229226;1186045;43181
Holmes County;Florida;19927;4230;15697
Indian River County;Florida;138028;131171;6857
Jackson County;Florida;49746;12256;37490
Jefferson County;Florida;14761;0;14761
Lafayette County;Florida;8870;0;8870
Lake County;Florida;297047;239858;57194
Lee County;Florida;618754;582741;36013
Leon County;Florida;275487;241576;33911
Levy County;Florida;40801;3244;37557
Liberty County;Florida;8365;0;8365
Madison County;Florida;19224;3843;15381
Manatee County;Florida;322833;304140;18693
Marion County;Florida;331303;228502;102796
Martin County;Florida;146318;133915;12403
Miami-Dade County;Florida;2496457;2486340;10095
Monroe County;Florida;73090;66721;6369
Nassau County;Florida;73314;38016;35298
Okaloosa County;Florida;180822;158944;21878
Okeechobee County;Florida;39996;25378;14618
Orange County;Florida;1145956;1122554;23402
Osceola County;Florida;268685;247671;21014
Palm Beach County;Florida;1320134;1306371;13763
Pasco County;Florida;464697;420707;43990
Pinellas County;Florida;916542;913939;2603
Polk County;Florida;602095;520749;81346
Putnam County;Florida;74364;32599;41765
Saint Johns County;Florida;190039;144860;45179
Saint Lucie County;Florida;277789;268463;9326
Santa Rosa County;Florida;151372;119600;31772
Sarasota County;Florida;379448;363054;16394
Seminole County;Florida;422718;409370;13348
Sumter County;Florida;93420;60756;32664
Suwannee County;Florida;41551;6994;34557
Taylor County;Florida;22570;6933;15637
Union County;Florida;15535;5057;10478
Volusia County;Florida;494593;445414;49179
Wakulla County;Florida;30776;11794;18982
Walton County;Florida;55043;20297;34746
Washington County;Florida;24896;3846;21050
Appling County;Georgia;18236;5208;13028
Atkinson County;Georgia;8375;0;8375
Bacon County;Georgia;11096;3408;7688
Baker County;Georgia;3451;0;3451
Baldwin County;Georgia;45720;29654;16066
Banks County;Georgia;18395;1135;17260
Barrow County;Georgia;69367;48514;20853
Bartow County;Georgia;100157;64874;35283
Ben Hill County;Georgia;17634;11638;5996
Berrien County;Georgia;19286;4601;14685
Bibb County;Georgia;155547;133132;22415
Bleckley County;Georgia;13063;6324;6739
Brantley County;Georgia;18411;102;18309
Brooks County;Georgia;16243;4704;11539
Bryan County;Georgia;30233;14408;15825
Bulloch County;Georgia;70217;36314;33903
Burke County;Georgia;23316;5830;17486
Butts County;Georgia;23655;5218;18437
Calhoun County;Georgia;6694;0;6694
Camden County;Georgia;50513;34630;15883
Candler County;Georgia;10998;3633;7365
Carroll County;Georgia;110527;64299;46228
Catoosa County;Georgia;63942;45973;17969
Charlton County;Georgia;12171;5961;6210
Chatham County;Georgia;265133;253184;11944
Chattahoochee County;Georgia;11267;7941;3326
Chattooga County;Georgia;26015;11041;14974
Cherokee County;Georgia;214346;177687;36659
Clarke County;Georgia;116714;109875;6839
Clay County;Georgia;3183;0;3183
Clayton County;Georgia;259424;257121;2303
Clinch County;Georgia;6798;2690;4108
Cobb County;Georgia;688078;686384;1694
Coffee County;Georgia;42356;14154;28202
Colquitt County;Georgia;45498;18677;26821
Columbia County;Georgia;124053;103922;20131
Cook County;Georgia;17212;6986;10226
Coweta County;Georgia;127317;85388;41929
Crawford County;Georgia;12630;0;12630
Crisp County;Georgia;23439;12416;11023
Dade County;Georgia;16633;4636;11997
Dawson County;Georgia;22330;4397;17933
Decatur County;Georgia;27842;12118;15724
DeKalb County;Georgia;691897;690073;1820
Dodge County;Georgia;21796;6053;15743
Dooly County;Georgia;14918;6912;8006
Dougherty County;Georgia;94565;81364;13201
Douglas County;Georgia;132403;111540;20863
Early County;Georgia;11008;3748;7260
Echols County;Georgia;4034;0;4034
Effingham County;Georgia;52250;17215;35035
Elbert County;Georgia;20166;5925;14241
Emanuel County;Georgia;22598;7484;15114
Evans County;Georgia;11000;4259;6741
Fannin County;Georgia;23682;0;23682
Fayette County;Georgia;106567;87195;19372
Floyd County;Georgia;96317;60851;35466
Forsyth County;Georgia;175511;158097;17414
Franklin County;Georgia;22084;2445;19639
Fulton County;Georgia;920577;910660;9921
Gilmer County;Georgia;28292;3496;24796
Glascock County;Georgia;3082;0;3082
Glynn County;Georgia;79626;63250;16376
Gordon County;Georgia;55186;26733;28453
Grady County;Georgia;25011;9414;15597
Greene County;Georgia;15994;2759;13235
Gwinnett County;Georgia;805321;801411;3910
Habersham County;Georgia;43041;17749;25292
Hall County;Georgia;179684;142747;36937
Hancock County;Georgia;9429;3622;5807
Haralson County;Georgia;28780;6516;22264
Harris County;Georgia;32024;1062;30962
Hart County;Georgia;25213;6438;18775
Heard County;Georgia;11834;0;11834
Henry County;Georgia;203922;175672;28250
Houston County;Georgia;139900;125963;13937
Irwin County;Georgia;9538;3366;6172
Jackson County;Georgia;60485;24185;36300
Jasper County;Georgia;13900;2535;11365
Jeff Davis County;Georgia;15068;4594;10474
Jefferson County;Georgia;16930;3273;13657
Jenkins County;Georgia;8340;2827;5513
Johnson County;Georgia;9980;3452;6528
Jones County;Georgia;28669;9256;19413
Lamar County;Georgia;18317;7167;11150
Lanier County;Georgia;10078;2910;7168
Laurens County;Georgia;48434;20999;27435
Lee County;Georgia;28298;18046;10252
Liberty County;Georgia;63453;48757;14696
Lincoln County;Georgia;7996;0;7996
Long County;Georgia;14464;2699;11765
Lowndes County;Georgia;109233;79517;29716
Lumpkin County;Georgia;29966;4812;25154
McDuffie County;Georgia;21875;8540;13335
McIntosh County;Georgia;14333;3682;10651
Macon County;Georgia;14740;6900;7840
Madison County;Georgia;28120;2284;25836
Marion County;Georgia;8742;0;8742
Meriwether County;Georgia;21992;3676;18316
Miller County;Georgia;6125;0;6125
Mitchell County;Georgia;23498;10689;12809
Monroe County;Georgia;26424;5224;21200
Montgomery County;Georgia;9123;118;9005
Morgan County;Georgia;17868;4401;13467
Murray County;Georgia;39628;11838;27790
Muscogee County;Georgia;189885;184231;5654
Newton County;Georgia;99958;68727;31231
Oconee County;Georgia;32808;16300;16508
Oglethorpe County;Georgia;14899;111;14788
Paulding County;Georgia;142324;113784;28540
Peach County;Georgia;27695;17109;10586
Pickens County;Georgia;29431;7916;21515
Pierce County;Georgia;18758;3873;14885
Pike County;Georgia;17869;185;17684
Polk County;Georgia;41475;20148;21327
Pulaski County;Georgia;12010;3999;8011
Putnam County;Georgia;21218;4043;17175
Quitman County;Georgia;2513;676;1837
Rabun County;Georgia;16276;3372;12904
Randolph County;Georgia;7719;3811;3908
Richmond County;Georgia;200549;182066;18483
Rockdale County;Georgia;85215;72490;12725
Schley County;Georgia;5010;0;5010
Screven County;Georgia;14593;3076;11517
Seminole County;Georgia;8729;2745;5984
Spalding County;Georgia;64073;37406;26667
Stephens County;Georgia;26175;10846;15329
Stewart County;Georgia;6058;0;6058
Sumter County;Georgia;32819;19106;13713
Talbot County;Georgia;6865;420;6445
Taliaferro County;Georgia;1717;0;1717
Tattnall County;Georgia;25520;8106;17414
Taylor County;Georgia;8906;0;8906
Telfair County;Georgia;16500;8747;7753
Terrell County;Georgia;9507;4466;4849
Thomas County;Georgia;44720;24139;20581
Tift County;Georgia;40118;23757;16361
Toombs County;Georgia;27223;13324;13899
Towns County;Georgia;10471;0;10471
Treutlen County;Georgia;6885;2832;4053
Troup County;Georgia;67044;37344;29700
Turner County;Georgia;8930;4489;4441
Twiggs County;Georgia;9023;0;9023
Union County;Georgia;21356;0;21356
Upson County;Georgia;27153;14416;12737
Walker County;Georgia;68756;38604;30152
Walton County;Georgia;83768;48034;35734
Ware County;Georgia;36312;25621;10691
Warren County;Georgia;5834;0;5834
Washington County;Georgia;21187;7288;13899
Wayne County;Georgia;30099;12660;17439
Webster County;Georgia;2799;0;2799
Wheeler County;Georgia;7421;0;7421
White County;Georgia;27144;4399;22745
Whitfield County;Georgia;102599;72766;29833
Wilcox County;Georgia;9255;0;9255
Wilkes County;Georgia;10593;3457;7136
Wilkinson County;Georgia;9563;0;9563
Worth County;Georgia;21679;6685;14994
Hawaii County;Hawaii;185079;114766;70313
Honolulu County;Hawaii;953207;944982;8225
Kalawao County;Hawaii;90;0;90
Kauai County;Hawaii;67091;58463;8628
Maui County;Hawaii;154834;132278;22556
Ada County;Idaho;392365;370894;21471
Adams County;Idaho;3976;0;3976
Bannock County;Idaho;82839;69809;13030
Bear Lake County;Idaho;5986;0;5986
Benewah County;Idaho;9285;2608;6677
Bingham County;Idaho;45607;20053;25554
Blaine County;Idaho;21376;14372;7004
Boise County;Idaho;7028;0;7028
Bonner County;Idaho;40877;11263;29614
Bonneville County;Idaho;104304;90734;13500
Boundary County;Idaho;10972;2613;8359
Butte County;Idaho;2891;0;2891
Camas County;Idaho;1117;0;1117
Canyon County;Idaho;188923;151388;37535
Caribou County;Idaho;6963;2793;4170
Cassia County;Idaho;22952;11129;11823
Clark County;Idaho;982;0;982
Clearwater County;Idaho;8761;3626;5135
Custer County;Idaho;4368;0;4368
Elmore County;Idaho;27038;19769;7269
Franklin County;Idaho;12786;4323;8463
Fremont County;Idaho;13242;3702;9540
Gem County;Idaho;16719;9192;7527
Gooding County;Idaho;15464;6482;8982
Idaho County;Idaho;16267;3150;13117
Jefferson County;Idaho;26140;8728;17412
Jerome County;Idaho;22374;10892;11482
Kootenai County;Idaho;138494;104917;33577
Latah County;Idaho;37244;24212;13032
Lemhi County;Idaho;7936;3084;4852
Lewis County;Idaho;3821;0;3821
Lincoln County;Idaho;5208;0;5208
Madison County;Idaho;37536;26852;10684
Minidoka County;Idaho;20069;11194;8875
Nez Perce County;Idaho;39265;31740;7525
Oneida County;Idaho;4286;0;4286
Owyhee County;Idaho;11526;2617;8909
Payette County;Idaho;22623;12970;9653
Power County;Idaho;7817;4488;3329
Shoshone County;Idaho;12765;5612;7153
Teton County;Idaho;10170;0;10170
Twin Falls County;Idaho;77230;55613;21617
Valley County;Idaho;9862;0;9862
Washington County;Idaho;10198;5551;4647
Adams County;Illinois;67103;45228;21875
Alexander County;Illinois;8238;3142;5096
Bond County;Illinois;17768;6976;10792
Boone County;Illinois;54165;43677;10488
Brown County;Illinois;6937;4088;2849
Bureau County;Illinois;34978;14904;20074
Calhoun County;Illinois;5089;0;5089
Carroll County;Illinois;15387;2789;12598
Cass County;Illinois;13642;6530;7112
Champaign County;Illinois;201081;175523;25558
Christian County;Illinois;34800;19679;15121
Clark County;Illinois;16335;6609;9726
Clay County;Illinois;13815;4872;8943
Clinton County;Illinois;37762;19350;18412
Coles County;Illinois;53873;40788;13085
Cook County;Illinois;5194675;5192322;2353
Crawford County;Illinois;19817;7894;11923
Cumberland County;Illinois;11048;0;11048
DeKalb County;Illinois;105160;83807;21353
De Witt County;Illinois;16561;8487;8074
Douglas County;Illinois;19980;7665;12315
Du Page;Illinois;916924;916488;436
Edgar County;Illinois;18576;8953;9623
Edwards County;Illinois;6721;0;6721
Effingham County;Illinois;34242;13800;20442
Fayette County;Illinois;22140;7309;14831
Ford County;Illinois;14081;8198;5883
Franklin County;Illinois;39561;20342;19219
Fulton County;Illinois;37069;14818;22251
Gallatin County;Illinois;5589;0;5589
Greene County;Illinois;13886;4048;9838
Grundy County;Illinois;50063;37860;12203
Hamilton County;Illinois;8457;2698;5759
Hancock County;Illinois;19104;5545;13559
Hardin County;Illinois;4320;0;4320
Henderson County;Illinois;7331;25;7306
Henry County;Illinois;50486;25104;25382
Iroquois County;Illinois;29718;8398;21320
Jackson County;Illinois;60218;37837;22381
Jasper County;Illinois;9698;2923;6775
Jefferson County;Illinois;38827;16008;22819
Jersey County;Illinois;22985;9063;13922
Jo Daviess County;Illinois;22678;6216;16462
Johnson County;Illinois;12582;0;12582
Kane County;Illinois;515269;496934;18335
Kankakee County;Illinois;113449;85703;27746
Kendall County;Illinois;114736;102781;11955
Knox County;Illinois;52919;40049;12870
Lake County;Illinois;703462;694547;8915
La Salle County;Illinois;113924;79502;34422
Lawrence County;Illinois;16833;7067;9766
Lee County;Illinois;36031;16858;19173
Livingston County;Illinois;38950;23057;15893
Logan County;Illinois;30305;18224;12081
McDonough County;Illinois;32612;22990;9622
McHenry County;Illinois;308760;278259;30501
McLean County;Illinois;169572;141598;27974
Macon County;Illinois;110768;93863;16905
Macoupin County;Illinois;47765;19816;27949
Madison County;Illinois;269282;233358;35924
Marion County;Illinois;39437;21668;17769
Marshall County;Illinois;12640;0;12640
Mason County;Illinois;14666;3302;11364
Massac County;Illinois;15429;7636;7793
Menard County;Illinois;12705;3088;9617
Mercer County;Illinois;16434;3655;12779
Monroe County;Illinois;32957;19326;13631
Montgomery County;Illinois;30104;17574;12530
Morgan County;Illinois;35547;22669;12878
Moultrie County;Illinois;14846;4567;10279
Ogle County;Illinois;53497;28300;25197
Peoria County;Illinois;186494;159181;27313
Perry County;Illinois;22350;12596;9754
Piatt County;Illinois;16729;5410;11319
Pike County;Illinois;16430;4550;11880
Pope County;Illinois;4470;0;4470
Pulaski County;Illinois;6161;0;6161
Putnam County;Illinois;6006;0;6006
Randolph County;Illinois;33476;19201;14275
Richland County;Illinois;16233;9177;7056
Rock Island County;Illinois;147546;131434;16112
Saint Clair County;Illinois;270056;243713;26343
Saline County;Illinois;24913;14035;10878
Sangamon County;Illinois;197465;169570;27895
Schuyler County;Illinois;7544;3196;4348
Scott County;Illinois;5355;0;5355
Shelby County;Illinois;22363;4980;17383
Stark County;Illinois;5994;0;5994
Stephenson County;Illinois;47711;28582;19129
Tazewell County;Illinois;135394;107749;27645
Union County;Illinois;17808;6078;11730
Vermilion County;Illinois;81625;56112;25513
Wabash County;Illinois;11947;7300;4647
Warren County;Illinois;17707;9654;8053
Washington County;Illinois;14716;3878;10838
Wayne County;Illinois;16760;5039;11721
White County;Illinois;14665;5568;9097
Whiteside County;Illinois;58498;36653;21845
Will County;Illinois;677560;650936;26624
Williamson County;Illinois;66357;43266;23091
Winnebago County;Illinois;295266;271898;23368
Woodford County;Illinois;38664;17443;21221
Adams County;Indiana;34387;15930;18457
Allen County;Indiana;355327;313117;42212
Bartholomew County;Indiana;76794;50912;25882
Benton County;Indiana;8854;0;8854
Blackford County;Indiana;12766;6305;6461
Boone County;Indiana;56640;37153;19487
Brown County;Indiana;15242;0;15242
Carroll County;Indiana;20155;3748;16407
Cass County;Indiana;38966;21561;17405
Clark County;Indiana;110232;87618;22614
Clay County;Indiana;26890;10517;16373
Clinton County;Indiana;33224;16684;16540
Crawford County;Indiana;10713;0;10713
Daviess County;Indiana;31648;12570;19078
Dearborn County;Indiana;50047;23493;26554
